match_id,match_date,home_team,visiting_team,season,home_score,visiting_score,winner,loser,pre_post_reg_season
1,2018-10-03,Toronto Maple Leafs,Montreal Canadiens,2018-19,3,2,Toronto Maple Leafs,Montreal Canadiens,regular season
2,2018-10-07,Chicago Blackhawks,Toronto Maple Leafs,2018-19,6,7,Toronto Maple Leafs,Chicago Blackhawks,regular season
3,2018-10-11,Detroit Red Wings,Toronto Maple Leafs,2018-19,3,5,Toronto Maple Leafs,Detroit Red Wings,regular season
4,2018-10-13,Boston Bruins,Detroit Red Wings,2018-19,8,2,Boston Bruins,Detroit Red Wings,regular season
5,2018-10-15,Montreal Canadiens,Detroit Red Wings,2018-19,7,3,Montreal Canadiens,Detroit Red Wings,regular season
6,2018-10-25,Chicago Blackhawks,New York Rangers,2018-19,4,1,Chicago Blackhawks,New York Rangers,regular season
7,2018-10-27,Boston Bruins,Montreal Canadiens,2018-19,0,3,Montreal Canadiens,Boston Bruins,regular season
8,2018-11-06,New York Rangers,Montreal Canadiens,2018-19,5,3,New York Rangers,Montreal Canadiens,regular season
9,2018-11-09,Detroit Red Wings,New York Rangers,2018-19,3,2,Detroit Red Wings,New York Rangers,regular season
10,2018-11-10,Boston Bruins,Toronto Maple Leafs,2018-19,5,1,Boston Bruins,Toronto Maple Leafs,regular season
11,2018-11-21,Detroit Red Wings,Boston Bruins,2018-19,3,2,Detroit Red Wings,Boston Bruins,regular season
12,2018-11-24,Montreal Canadiens,Boston Bruins,2018-19,2,3,Boston Bruins,Montreal Canadiens,regular season
13,2018-11-26,Toronto Maple Leafs,Boston Bruins,2018-19,4,2,Toronto Maple Leafs,Boston Bruins,regular season
14,2018-12-01,Boston Bruins,Detroit Red Wings,2018-19,2,4,Detroit Red Wings,Boston Bruins,regular season
15,2018-12-01,Montreal Canadiens,New York Rangers,2018-19,5,2,Montreal Canadiens,New York Rangers,regular season
16,2018-12-06,Toronto Maple Leafs,Detroit Red Wings,2018-19,4,5,Detroit Red Wings,Toronto Maple Leafs,regular season
17,2018-12-08,Boston Bruins,Toronto Maple Leafs,2018-19,6,3,Boston Bruins,Toronto Maple Leafs,regular season
18,2018-12-09,Chicago Blackhawks,Montreal Canadiens,2018-19,2,3,Montreal Canadiens,Chicago Blackhawks,regular season
